"","year","week","points","W"
"1",2009,1,80,0
"2",2009,1,90,1
"3",2009,1,74,0
"4",2009,1,75,1
"5",2009,1,80,0
"6",2009,1,111,1
"7",2009,1,86,0
"8",2009,1,142,1
"9",2009,1,92,0
"10",2009,1,116,1
"11",2009,2,73,0
"12",2009,2,100,1
"13",2009,2,82,0
"14",2009,2,95,1
"15",2009,2,118,0
"16",2009,2,139,1
"17",2009,2,75,0
"18",2009,2,106,1
"19",2009,2,112,0
"20",2009,2,148,1
"21",2009,3,89,0
"22",2009,3,109,1
"23",2009,3,125,0
"24",2009,3,132,1
"25",2009,3,92,0
"26",2009,3,104,1
"27",2009,3,72,0
"28",2009,3,88,1
"29",2009,3,67,0
"30",2009,3,91,1
"31",2009,4,94,0
"32",2009,4,132,1
"33",2009,4,79,0
"34",2009,4,106,1
"35",2009,4,93,0
"36",2009,4,101,1
"37",2009,4,97,0
"38",2009,4,97,0
"39",2009,4,65,0
"40",2009,4,96,1
"41",2009,5,83,0
"42",2009,5,137,1
"43",2009,5,82,0
"44",2009,5,84,1
"45",2009,5,79,0
"46",2009,5,127,1
"47",2009,5,59,0
"48",2009,5,92,1
"49",2009,5,90,0
"50",2009,5,141,1
"51",2009,6,73,0
"52",2009,6,119,1
"53",2009,6,96,0
"54",2009,6,171,1
"55",2009,6,91,0
"56",2009,6,117,1
"57",2009,6,94,0
"58",2009,6,133,1
"59",2009,6,88,0
"60",2009,6,91,1
"61",2009,7,114,0
"62",2009,7,117,1
"63",2009,7,90,0
"64",2009,7,120,1
"65",2009,7,122,0
"66",2009,7,143,1
"67",2009,7,110,0
"68",2009,7,122,1
"69",2009,7,69,0
"70",2009,7,71,1
"71",2009,8,119,0
"72",2009,8,122,1
"73",2009,8,62,0
"74",2009,8,69,1
"75",2009,8,80,0
"76",2009,8,86,1
"77",2009,8,57,0
"78",2009,8,83,1
"79",2009,8,88,0
"80",2009,8,114,1
"81",2009,9,79,0
"82",2009,9,88,1
"83",2009,9,97,0
"84",2009,9,100,1
"85",2009,9,107,0
"86",2009,9,119,1
"87",2009,9,108,0
"88",2009,9,112,1
"89",2009,9,70,0
"90",2009,9,116,1
"91",2009,10,94,0
"92",2009,10,100,1
"93",2009,10,87,0
"94",2009,10,104,1
"95",2009,10,130,0
"96",2009,10,145,1
"97",2009,10,74,0
"98",2009,10,121,1
"99",2009,10,73,0
"100",2009,10,86,1
"101",2009,11,123,0
"102",2009,11,123,0
"103",2009,11,127,0
"104",2009,11,130,1
"105",2009,11,77,0
"106",2009,11,125,1
"107",2009,11,93,0
"108",2009,11,122,1
"109",2009,11,112,0
"110",2009,11,131,1
"111",2009,12,77,0
"112",2009,12,87,1
"113",2009,12,91,0
"114",2009,12,104,1
"115",2009,12,116,0
"116",2009,12,118,1
"117",2009,12,86,0
"118",2009,12,145,1
"119",2009,12,84,0
"120",2009,12,124,1
